
              X1               X2               X3               X4               X5 
      0.27245375       0.70760787       0.11980211        2.0565872       0.56246583 
      0.40580254       0.80039040       0.27194396        1.4129631        1.2913016 
       1.2120875       0.32165218       0.24292640        1.3982044        1.3067711 
      0.33734751      0.047976501       0.15229297        3.1147987       0.29318083 
      0.50885925       0.75784666       0.30331466        1.3424337        1.5461578 
     0.091284443       0.92524973       0.18879357        1.8875392       0.70073032 
       1.0564434       0.25720892       0.37348896        1.5081774       0.87569046 
      0.16556545       0.91638483       0.28449551        1.4382025        1.0113781 
      0.31731362       0.87900194       0.36101528        1.2809904        1.7878549 
      0.21516527       0.87758278       0.23059880        1.4887513        1.1849247 
      0.33904972       0.81404599       0.21649999        1.5411877        1.0975714 
      0.15083363       0.92238320       0.40187424        1.3527881        1.1267764 
     0.097634532       0.91782045       0.25628338        1.7623307       0.69504225 
      0.21103738       0.79848686       0.30190235        1.9357794       0.51773962 
      0.12721178       0.93234325       0.23882405        1.5169534        1.4549884 
      0.21963068       0.89796569       0.34695141        1.3864247        1.4462433 
      0.36298656       0.83061752       0.43070345        1.3121383        1.4118113 
     0.047671041       0.96240917       0.25412193        1.9697636       0.67899215 
      0.18621352       0.87680117       0.13654941        1.6506408        1.0630435 
      0.21096597       0.88827181       0.18585246        1.3315028        1.2476146 
     0.075855260       0.90398007       0.10458730        2.1224291       0.53705199 
      0.21702505       0.86499143       0.24463349        1.5472966        1.2878807 
     0.097233373       0.82534323       0.17846751        2.7499365       0.39437366 
      0.18342852       0.90488853       0.43217398        1.6303192       0.94222953 
     0.057990755       0.95122188       0.14868660        1.9053194       0.65196213 
      0.20809041       0.92147461       0.19360396        1.2962047        1.8066474 
      0.10481294       0.90619049       0.19155262        1.9777899       0.66030624 
      0.14642648       0.90191124       0.21789212        1.5722176        1.0803485 
      0.31274292       0.88040042       0.36700546        1.1765148        1.5307641 
     0.084898500       0.95364067       0.23544923        1.4643066        1.0138285 
      0.58109629       0.77966335       0.42362987        1.3036860        1.8563876 
      0.52820349       0.50196084       0.28432374        1.8521491       0.69126066 
      0.49317904       0.68965821       0.23363572        1.6437688        1.1345284 
     0.090012665       0.94086392       0.14453611        1.6016093       0.97498673 
      0.35557474       0.88325882       0.25837261        1.1577251        2.8135112 
     0.078676425       0.94060131       0.13232568        1.8540415       0.81040420 
      0.20467611       0.86970462       0.22909029        1.5930407       0.99735345 
      0.43505003       0.82347771       0.38951063        1.2592265        1.6137115 
      0.28792949       0.82827671       0.35870824        1.4367980        1.0187021 
      0.14555725       0.92779545       0.35431063        1.3795334        1.4111394 
      0.35707130       0.77856178       0.29975117        1.6739274       0.93742665 
      0.21035886       0.92607194       0.28342235        1.1917674        1.7722806 
      0.40512450       0.82526606       0.34381625        1.3994930        1.4472048 
      0.32734403       0.71993348       0.17669421        2.0216654       0.67236463 
      0.38702728       0.36685930       0.19143921        2.3135000       0.42722643 
      0.21352767       0.87437471       0.20943014        1.6546085       0.96476801 
     0.079167484       0.93085275       0.14704489        1.7514914       0.69519588 
      0.44452552       0.89988134       0.37387258       0.99446428        6.5985451 
      0.17631492       0.90471819       0.22058628        1.4323488        1.3234272 
      0.44614541       0.80785589       0.44093608        1.3221500        1.1787582 
      0.64010195       0.21017206       0.15449735        2.2217429       0.49431209 
      0.21593765       0.88031624       0.18857530        1.4467989        1.1449695 
      0.20660503       0.90689637       0.24692002        1.4115009        1.5165915 
      0.38643507       0.80386897       0.53601985        1.3613300        1.2233354 
      0.19241352       0.89040969       0.19307458        1.5459025       0.93453757 
      0.21443350       0.88288194       0.34533702        1.5064704        1.1390840 
      0.28194912       0.82618892       0.35164694        1.5419396       0.87778510 
      0.37962911       0.79639875       0.38994250        1.3716167       0.97298857 
      0.16593036       0.89949188       0.31453093        1.5538822       0.95576917 
      0.17900021       0.91322221       0.21248257        1.3640568        1.4737526 
      0.77739423       0.64743058       0.28904778        1.3427183        1.5618295 
      0.20754692       0.87952245       0.19652817        1.6233769        1.1986588 
      0.17332259       0.91684490       0.30002186        1.4618555        1.2826527 
      0.55128412       0.59512701       0.26527079        1.6734559       0.81028481 
     0.092624842       0.93651200       0.21817617        1.8439913       0.77061668 
      0.23123268       0.91223839       0.31906556        1.3100596        1.7541737 
      0.36299500       0.79876114       0.12520088        1.4767887       0.94708543 
      0.20158947       0.85276390       0.14972243        1.7934340        1.0318710 
      0.25617530       0.86520918       0.17972388        1.4468949        1.3467087 
      0.24853398       0.89475572       0.22996416        1.4091203        1.2939754 
      0.19532473       0.85324228       0.22200835        1.6896379       0.85544037 
      0.38519746       0.84047847       0.23948519        1.2499978        1.9052044 
      0.15651781       0.90513475       0.29780722        1.5413048        1.1095148 
      0.21665841       0.91089634       0.31232495        1.3138923        1.1233095 
      0.10294066       0.90185832       0.24812973        1.8679108       0.77667909 
     0.068007738       0.93606435       0.14659732        2.0424680       0.65607793 
      0.14627497       0.94013053       0.26491636        1.2845041        1.5685832 
      0.27862174       0.86843641       0.21110948        1.4137490        1.6383967 
      0.30478808       0.84606796       0.27954713        1.3229892        1.2366593 
      0.23645933       0.86668474       0.34512211        1.5834724       0.97558235 
      0.20765563       0.86013457       0.13978392        1.6954149       0.87029576 
      0.13059407       0.89989716       0.12761066        1.7216027       0.84101106 
      0.20195588       0.86965482       0.26338212        1.6166878        1.0109093 
      0.12561429       0.92727919       0.14613911        1.4948018        1.0406705 
      0.20727364       0.88935681       0.31029133        1.4221015        1.2000764 
      0.53591460       0.71753618       0.44020416        1.4811263        1.3380441 
     0.060240214       0.92703535       0.22834049        2.0974833       0.59781517 
      0.25943215       0.86231672       0.22731590        1.4539125        1.2112481 
      0.41885931       0.81099575       0.33858140        1.3588648        1.5114174 
      0.32971764       0.85171385       0.29644427        1.4585067        1.4026607 
      0.17868712       0.91137996       0.20890346        1.4069715        1.2588523 
      0.13359030       0.93247327       0.25744974        1.3565084        1.3976654 
      0.10029429       0.94152851       0.14393845        1.5901716        1.0025742 
      0.14442454       0.92943131       0.26874421        1.3116907        1.2200199 
      0.20808609       0.89495687       0.33905255        1.5644731        1.0137759 
      0.15234179       0.91556114       0.32011232        1.5278340        1.0641741 
      0.44991640       0.80891103       0.31952947        1.3548602        1.4022863 
      0.70805354       0.63404406       0.30844980        1.4410780        1.3392345 
      0.28834636       0.89456716       0.28836920        1.2127367        2.0704243 
      0.24007777       0.89095442       0.34429039        1.2703262        1.2340378 
      0.16546948       0.89648096       0.24184056        1.5823676       0.79141901 
      0.23634827       0.90330726       0.26993807        1.3482192        1.9329939 
       1.0102669       0.29110992       0.34026649        1.6830056        1.0644873 
      0.18337532       0.86574695       0.29155356        1.7031958       0.73644559 
      0.31769775       0.83017279       0.38116518        1.3474173        1.1194961 
      0.43865325       0.74510089       0.27679241        1.4548935       0.99021772 
     0.087264432       0.91189539       0.18377620        1.9778157       0.55607386 
      0.37093424       0.82389305       0.37098927        1.3837466        1.2702601 
      0.58712342       0.74235321       0.36090944        1.3259836        1.3400836 
      0.18372681       0.88144295       0.18134076        1.6492215        1.0482853 
      0.29185979       0.85147069       0.30344162        1.5027784        1.2101239 
      0.43626154       0.70334854       0.33349520        1.8286116       0.71355787 
      0.13880178       0.85405555       0.18181382        2.3269308       0.50163149 
      0.22895941       0.88086369       0.29684144        1.5199018        1.2715216 
      0.30749181       0.81372546       0.21909602        1.5493890        1.0648082 
      0.30615102       0.85538091       0.35220910        1.4305178        1.3450454 
      0.13547393       0.90335827       0.11801701        1.7372454       0.77757513 
      0.58920127       0.72159566       0.40438404        1.4448209        1.1488712 
      0.11248962       0.93407813       0.20223784        1.5828417        1.4299365 
      0.18487009       0.95050424       0.30964606        1.1781906        3.3377716 
      0.19799249       0.84687367       0.32050852        1.7123839       0.78275283 
      0.38301464       0.78674472       0.12691528        1.4236124        1.3425674 
      0.23884724       0.87161793       0.20287561        1.4911910        1.3529053 
      0.33057514       0.84014083       0.16534599        1.4279303        1.5043597 
      0.23539688       0.85802265       0.25124892        1.6892768        1.0066596 
      0.14013734       0.93691703       0.18164766        1.4310428        1.5938339 
      0.26540602       0.88967662       0.20802612        1.3306298        1.4994299 
      0.36788278       0.81421347       0.29746783        1.4346304        1.2827385 
      0.17592440       0.90414468       0.20012644        1.5257988        1.1679261 
      0.35321069       0.80476138       0.24143552        1.4531874        1.2411705 
      0.23664139       0.84137903       0.35615575        1.8784679       0.64239455 
      0.80684088       0.64765759       0.27418572        1.3671456        1.6200298 
      0.35880537       0.87412933       0.30470284        1.1780911        1.7591283 
      0.53937782       0.74842111       0.24608794        1.3179664        1.3147879 
      0.16839109       0.86161702       0.30929771        1.8480074       0.62337401 
      0.28431005       0.87038323       0.18031184        1.4578558        1.1647913 
     0.087241909       0.91710012       0.13081930        1.9909562       0.63087535 
      0.33177201       0.79377495       0.20762190        1.5596909        1.2279852 
      0.17635595       0.91516730       0.31970476        1.3507274        1.5272828 
      0.20428420       0.92882612       0.25342083        1.2399238        2.2267767 
      0.26628460       0.89984798       0.26806372        1.2253999        1.5813876 
      0.15315571       0.90919791       0.25640852        1.6790645       0.89199316 
      0.21561371       0.86957859       0.27776368        1.5132560        1.0441022 
      0.10023673       0.93617598       0.23078235        1.5421799        1.0360021 
     0.091017833       0.91448407       0.21092625        2.1477898       0.51169074 
      0.22425082       0.87384511       0.30590345        1.5756105       0.82865904 
      0.28340256       0.82255544       0.23780688        1.5592582        1.0899249 
      0.32497068       0.84220107       0.21482472        1.3995835        1.3088831 
      0.27398802       0.88295352       0.27153259        1.3337445        1.2080804 
      0.11170951       0.93555734       0.30246470        1.3622833        1.0541993 
     0.069808112       0.94174773       0.24688266        1.7942354       0.75127235 
      0.21679319       0.88864436       0.28254046        1.6116223       0.97742735 
      0.24112055       0.86929388       0.34146209        1.4898884       0.96528726 
      0.19289793       0.85436947       0.23046891        1.6270756       0.82277494 
      0.15803439       0.83869069       0.26295953        1.8641655       0.61569609 
      0.35451092       0.85026019       0.39421317        1.3095709        1.4924796 
      0.15558589       0.90340242       0.24307125        1.6469871        1.1082573 
      0.16720647       0.89761835       0.22947904        1.6307549       0.94709713 
      0.13793518       0.91697036       0.25072381        1.5266099        1.0676981 
      0.24528973       0.88691154       0.33828172        1.4042197        1.2894817 
      0.29535088       0.82290223       0.26525543        1.5949332       0.92986329 
      0.34411876       0.81149355       0.23801723        1.5378826        1.3161990 
      0.41607027       0.81630043       0.18883210        1.4485975        1.6972923 
      0.20875498       0.88466254       0.26901451        1.5036556        1.2995721 
     0.066174704       0.95791286       0.20162399        1.4861064        1.0868813 
      0.19073565       0.87593318       0.19465959        1.6690415        1.2423231 
      0.36926877       0.88025576       0.32630940        1.2053390        2.4197658 
      0.51440491       0.83714613       0.27478030        1.2333955        2.5205168 
      0.19679210       0.90894085       0.39363947        1.3886614        1.1622864 
      0.21075529       0.90321746       0.36173903        1.3527333        1.4027523 
      0.12481088       0.94866243       0.24469785        1.3051990        2.0232509 
      0.16062000       0.86229569       0.20715271        1.7870865       0.80154232 
      0.10257033       0.93408349       0.28109047        1.5294282       0.89798750 
      0.18778453       0.92187271       0.30415964        1.2991522        1.7108504 
      0.31163714       0.80281287       0.28053166        1.6268654       0.95217645 
      0.16395975       0.92700258       0.19154784        1.3482696        1.4548966 
      0.46187471       0.74945142       0.35467326        1.4586316        1.1975628 
      0.29638617       0.84544330       0.38155692        1.4185383        1.1192351 
      0.33494829       0.86589798       0.39784095        1.2855626        1.4742786 
      0.15726488       0.87838883       0.15178157        1.7283634       0.70809910 
      0.13946070       0.93180100       0.23668737        1.4764363        1.3851793 
      0.25327006       0.83864328       0.28033159        1.4511902        1.1907526 
      0.22215153       0.89618790       0.20785869        1.4255969        1.3710114 
      0.16692682       0.90744840       0.26495205        1.5177612        1.1098540 
      0.38798222       0.85327776       0.31108455        1.2671461        2.0890633 
      0.24586808       0.87784674       0.26928300        1.5024205        1.5877876 
      0.55715101       0.56351239       0.25263016        1.7979524       0.79194257 
      0.28807979       0.83861107       0.18789953        1.4791414        1.0608848 
      0.36615385       0.83064007       0.49746827        1.3546389        1.1215300 
