
              X1               X2               X3               X4               X5 
      0.33058890       0.89001813       0.38100750       0.96203174        3.1256038 
      0.27712692       0.89710078       0.41217414       0.98116569        2.5130374 
      0.34641571       0.88775137       0.39963916       0.94423104        3.3705753 
      0.30689721       0.88614348       0.43266952        1.0175870        2.2589014 
      0.32516656       0.89608949       0.41736538       0.94550006        3.5020938 
      0.24498684       0.91071727       0.41433511       0.99114056        2.6455095 
      0.42970093       0.87271507       0.43075463       0.91948523        3.5246329 
      0.29935324       0.90705419       0.35252043       0.91984067        3.7739324 
      0.33978504       0.87759813       0.40661337       0.95059677        2.7535921 
      0.24205936       0.91935936       0.41224247       0.94505123        2.9760039 
      0.32986470       0.88132980       0.41626930       0.97494121        2.4941437 
      0.24807355       0.91215271       0.40053344       0.96926392        2.7593517 
      0.28957487       0.90256425       0.44720362       0.92702619        2.8479864 
      0.29995857       0.89105472       0.37681193       0.98412317        2.5751324 
      0.32940349       0.88993142       0.38472380       0.96176224        2.6485494 
      0.33258952       0.89395603       0.43503800       0.90527175        3.2626488 
      0.41276423       0.88462377       0.35013137       0.88538032        4.6688104 
      0.27400824       0.89689825       0.42753056       0.97492110        2.3900272 
      0.28376562       0.89667005       0.42093441       0.94208221        2.9171161 
      0.33254926       0.87971181       0.40752259       0.99355181        2.4812382 
      0.25060498       0.91025846       0.31753937       0.97703552        3.0442671 
      0.30378474       0.89302484       0.37896379       0.98559770        2.5255688 
      0.25930597       0.90638396       0.38019466       0.96844486        2.9935835 
      0.38549891       0.88115392       0.38052411       0.91251756        3.6727677 
      0.32443763       0.88267211       0.43056079       0.97867963        2.4397507 
      0.43158096       0.86816596       0.39916427       0.91131375        3.7379332 
      0.24412300       0.93119987       0.41068572       0.88923523        3.8669590 
      0.27054610       0.91248746       0.39509075       0.92486869        3.3009846 
      0.30366078       0.90184094       0.42344930       0.98129331        2.9020665 
      0.26516398       0.90555069       0.40618661       0.99521026        2.3379797 
      0.26803704       0.90927525       0.47202298       0.96575268        2.7642789 
      0.36718137       0.89072380       0.41236566       0.92465463        3.7986092 
      0.31921715       0.89698824       0.39428878       0.91770964        3.4712845 
      0.32516306       0.88063804       0.43535327       0.97962467        2.5910961 
      0.25728012       0.91489441       0.40031947       0.95359660        3.2061862 
      0.36165268       0.88661031       0.39369708       0.95155847        3.2792383 
      0.25037679       0.91951518       0.38057168       0.93977568        3.0952359 
      0.27250717       0.91833032       0.38712796       0.90450574        3.5870889 
      0.38192100       0.87142410       0.31628229       0.97746885        2.8560058 
      0.23045401       0.92318330       0.38687043       0.93963700        2.9019084 
      0.28188117       0.90143411       0.34591984       0.97205785        2.8109758 
      0.29913813       0.90058860       0.48124476       0.91854411        3.3204722 
      0.37228763       0.87270761       0.38280385       0.96414707        2.8315163 
      0.21469348       0.93504615       0.38358629       0.91607127        3.3304351 
      0.31907469       0.88539157       0.43337962       0.95007386        2.9519568 
      0.24508341       0.91238039       0.36782990       0.95717504        2.7099473 
      0.31489388       0.90182516       0.36057138       0.96494369        3.3170522 
      0.30350394       0.90621048       0.39341363       0.91880156        3.2824911 
      0.42296865       0.86966477       0.40672684       0.92733790        3.3775609 
      0.41373270       0.86597636       0.38620046       0.97276887        2.9836219 
      0.37868359       0.87480851       0.43817053       0.94994997        3.1089385 
      0.22388699       0.91528336       0.35655305        1.0050232        2.3446343 
      0.30417755       0.89632571       0.44315924       0.94315646        2.6753101 
      0.22798745       0.91362659       0.41074982       0.97240982        2.3763227 
      0.36408721       0.88661106       0.39915515       0.91166217        3.7324416 
      0.39033112       0.88497668       0.40228244       0.92043932        3.7285423 
      0.25233954       0.90361666       0.43577502       0.98358364        2.5662922 
      0.31249835       0.89124844       0.43239092       0.94589657        2.6163795 
      0.28159583       0.91918580       0.34980644       0.88497533        4.0248522 
      0.28398946       0.91667377       0.39558360       0.89411637        3.8075408 
      0.27620284       0.89474236       0.43568409       0.97736276        2.6593903 
      0.37196145       0.87227402       0.42917884       0.96473941        2.9029798 
      0.36190490       0.89308742       0.45988634       0.90720570        3.7096329 
      0.34313133       0.88442100       0.39573236       0.97837531        2.9752031 
      0.34554909       0.88460110       0.40157961       0.94302788        3.0691141 
      0.25066914       0.90269705       0.39890672        1.0183322        2.4283810 
      0.26206314       0.91774469       0.44578074       0.93333889        3.1190410 
      0.26469542       0.91693048       0.44308605       0.93544253        3.3898590 
      0.31773309       0.89982869       0.46550002       0.92435161        3.2538459 
      0.30197947       0.89963302       0.37864878       0.99851940        2.7733409 
      0.30803569       0.89624413       0.43189611       0.95338930        2.7587148 
      0.34649833       0.87858699       0.44265767       0.96675229        2.8219948 
      0.31788359       0.89870894       0.44664356       0.93602716        3.4219533 
      0.41065516       0.86256681       0.40181229       0.99797702        2.8673731 
      0.31117512       0.88589722       0.38806830       0.94021604        2.8172591 
      0.28249707       0.89536594       0.41547351       0.98798432        2.2729506 
      0.18371688       0.93460226       0.38787196       0.97315959        2.5309286 
      0.33555618       0.90255206       0.40417547       0.90198174        3.7205083 
      0.31076172       0.89131319       0.35287979       0.92153971        3.0848348 
      0.23450884       0.92142052       0.38259184       0.96184991        2.8739425 
      0.27594038       0.91652373       0.36606049       0.90703024        3.8286421 
      0.34769327       0.88031048       0.43282104       0.97780081        2.8364018 
      0.32871085       0.87559367       0.45606403       0.94525221        2.6355858 
      0.41508158       0.86423197       0.37124952       0.95404662        3.1407974 
      0.29591804       0.89971392       0.41414221       0.97731642        3.1762126 
      0.36027307       0.87799118       0.38074945       0.93709370        2.9342480 
      0.31743209       0.89797628       0.45655954       0.93742718        3.1038672 
      0.24536396       0.91687045       0.39892096       0.97724206        2.9821456 
      0.21908849       0.92121533       0.45890092       0.94815141        2.9169291 
      0.30443311       0.89947032       0.41920978       0.91493960        3.1544661 
      0.32648563       0.87858325       0.42640388       0.96252017        2.6229346 
      0.37370631       0.87908134       0.44199780       0.94281500        3.2312422 
      0.26515153       0.90476971       0.41939448       0.95101173        2.7909682 
      0.36124537       0.89408266       0.39410019       0.89807562        3.9968022 
      0.28496424       0.89420319       0.38149065        1.0009626        2.5812301 
      0.36785591       0.86902861       0.42370102        1.0232220        2.6285657 
      0.39581242       0.88476677       0.42179257       0.92494208        3.8096067 
      0.39883214       0.88372667       0.35503380       0.90078060        3.6629425 
      0.36210615       0.87748281       0.43528900       0.92822101        2.8714535 
      0.23202412       0.91729768       0.35042126        1.0115989        2.5232918 
      0.30640356       0.90400806       0.37661718       0.92408764        3.4647349 
      0.28735824       0.90488231       0.35332135       0.93027761        3.3300511 
      0.29297901       0.89865179       0.40779917       0.96262194        2.8396591 
      0.32028800       0.90190377       0.41643821       0.90751257        3.9256071 
      0.22011296       0.92678123       0.45283443       0.92410759        2.6450325 
      0.35934251       0.89320285       0.43795102       0.90561708        3.4362096 
      0.35290949       0.87481908       0.45293596       0.95950577        2.7872550 
      0.28141259       0.90291688       0.41033007       0.94689953        2.6020614 
      0.29326912       0.90927912       0.37608319       0.93191375        3.4725755 
      0.20278570       0.92798982       0.38538188       0.96334995        2.7444827 
      0.23530386       0.92490352       0.38946305       0.93852676        3.0505371 
