
              X1               X2               X3               X4               X5 
      0.20105099       0.89333950       0.26133860        1.4667494        1.1965500 
      0.17449219       0.89481816       0.28983416        1.5626365       0.97181846 
      0.22821862       0.87644491       0.28426316        1.4665138        1.1874504 
      0.22065990       0.88253465       0.31624843        1.5032719        1.0475845 
      0.17763231       0.90431323       0.28762262        1.4902722        1.1818239 
      0.16602650       0.91034150       0.28188192        1.5135247        1.1471369 
      0.28420675       0.86861501       0.31501227        1.3552707        1.3471991 
      0.16512504       0.90088911       0.24948968        1.5331910        1.0362462 
      0.20334881       0.86792075       0.27416716        1.5962860       0.91770064 
      0.14930756       0.91930090       0.27208835        1.4763538        1.0977655 
      0.20971200       0.87722837       0.28787801        1.5311631       0.96181966 
      0.15046449       0.91521179       0.26550652        1.5098178        1.0763497 
      0.16380198       0.90699669       0.29369809        1.4831395        1.0206688 
      0.18006982       0.89701579       0.25721460        1.5248038        1.0370555 
      0.21916956       0.88636618       0.29112604        1.4459265        1.0765853 
      0.18373507       0.89834434       0.28416553        1.4612249        1.0899717 
      0.24277106       0.86875671       0.24985041        1.4379599        1.2210096 
      0.19312256       0.87923875       0.30797888        1.5847935       0.90386423 
      0.16187139       0.89052473       0.26457858        1.6065153       0.93520702 
      0.21918617       0.88166317       0.28612089        1.4894191        1.0867227 
      0.15941874       0.89291971       0.21384032        1.6475391       0.93995192 
      0.21484086       0.88728838       0.26731032        1.4631598        1.1063703 
      0.16031614       0.89652528       0.23479774        1.6076316       0.98853657 
      0.22199885       0.87723878       0.26545371        1.4557462        1.1436965 
      0.20509908       0.88801695       0.30115104        1.4789387        1.0549406 
      0.20456877       0.88274583       0.23724100        1.4826223        1.0894233 
      0.15584387       0.92833381       0.29116529        1.3520970        1.3311241 
      0.14756620       0.91405625       0.24230239        1.5190077        1.0323100 
      0.23248678       0.89410866       0.31301995        1.3978858        1.3360257 
      0.18415839       0.90596231       0.28381879        1.4578446        1.0845255 
      0.18408675       0.90822746       0.32153738        1.4388367        1.1904876 
      0.23205955       0.88948570       0.29733936        1.3766242        1.3823217 
      0.18076367       0.89223397       0.24778095        1.5112726        1.0640649 
